Program,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
OPTI West/Valley Hospital (Las Vegas) Program,0.5,0.26,0.97,0.22,0.48,0.57,0.01,0,Las Vegas,NV,Mountain
Oregon Health & Science University (OHSU Health) (Cascades East) Program,0.89,0.25,1,0.35,0.69,0.4,0.01,0.02,Klamath Falls,OR,Pacific
Oregon Health & Science University (OHSU Health) (Madras) Program,0.22,0.1,0.88,0.1,0.49,0.23,0.01,0.01,Portland,OR,Pacific
Oregon Health & Science University (OHSU Health) Program,0.47,0.17,0.63,0.21,0.48,0.13,0.01,0,Portland,OR,Pacific
Oregon Health & Science University (OHSU Health)/Hillsboro Medical Center Program,0.41,0.1,0.78,0.13,0.46,0.15,0.01,0,Hillsboro,OR,Pacific
Orlando Health Bayfront Hospital Program,0.42,0.1,0.44,0.1,0.54,0.07,0,0,St. Petersburg,FL,South Atlantic
Osteopathic Medical Education Consortium of Oklahoma (OMECO/Chickasaw Nation Medical Center) Program,0.91,0.4,0.86,0.34,0.42,0.62,0.03,0,Ada,OK,West South Central
Osteopathic Medical Education Consortium of Oklahoma (OMECO/Talihina) Program,0.75,0.2,0.86,0.16,0.17,0.43,0,0,Talihina,OK,West South Central
"Osteopathic Medical Education Consortium of Oklahoma, Inc. (OMECO) Program",-,-,0.89,0.24,0,0.54,0.04,0,Tahlequah,OK,West South Central
"Osteopathic Medical Education Consortium of Oklahoma, Inc. (OMECO)/Oklahoma State University Program",0.92,0.72,0.97,0.72,0.19,0.91,0,0,Tulsa,OK,West South Central
Our Lady Of Lourdes Memorial Hospital Inc. Program,0.06,0.01,0,0.02,0.04,0.01,0.01,0,Binghamton,NY,Middle Atlantic
Palmetto General Hospital Program,-,-,-,-,-,-,-,-,Hialeah,FL,South Atlantic
PeaceHealth Southwest Medical Center Program,0.67,0.09,0.34,0.15,0.3,0.16,0.05,0,Vancouver,WA,Pacific
Penn Highlands DuBois Program,0.75,0.23,0.61,0.17,0.4,0.45,0,0,DuBois,PA,Middle Atlantic
Penn State Milton S Hershey Medical Center/Hershey Program,0.49,0.21,0.37,0.21,0.45,0.27,0.03,0,Hershey,PA,Middle Atlantic
Penn State Milton S Hershey Medical Center/St Joseph Program,0.36,0.23,0.57,0.2,0.57,0.54,0.14,0,Reading,PA,Middle Atlantic
Penn State Milton S Hershey Medical Center/State College Program,0.65,0.3,0.64,0.25,0.71,0.34,0.09,0.04,State College,PA,Middle Atlantic
Phoebe Putney Memorial Hospital (Phoebe) Program,-,-,-,-,-,-,-,-,Albany,GA,South Atlantic
PIH Health Hospital - Whittier Program,0.29,0.15,0.4,0.1,0.51,0.24,0.02,0.03,Whittier,CA,Pacific
Pomona Valley Hospital Medical Center Program,0.35,0.15,0.4,0.12,0.54,0.16,0.04,0.04,Pomona,CA,Pacific
Poudre Valley Hospital/Fort Collins Family Medicine Program,0.67,0.17,0.6,0.22,0.39,0.23,0,0,Fort Collins,CO,Mountain
Prime West Consortium Program,-,-,0.35,0.14,0.26,0.28,0.15,0.08,San Dimas,CA,Pacific
Prime West Consortium/Chino Valley Medical Center Program,0.12,0.07,0.3,0.05,0.28,0.17,0.06,0.02,Chino,CA,Pacific
Prisma Health/University of South Carolina SOM Columbia (Columbia) Program,0.61,0.39,0.86,0.37,0.68,0.57,0.01,0,Columbia,SC,South Atlantic
Prisma Health/University of South Carolina SOM Columbia (Sumter) Program,0.75,0.5,1,0.47,0.53,0.75,0.29,0,Sumter,SC,South Atlantic
Prisma Health/University of South Carolina SOM Greenville (Greenville) Program,0.51,0.07,0.43,0.1,0.33,0.13,0.03,0.01,Greenville,SC,South Atlantic
Prisma Health/University of South Carolina SOM Greenville (Greer) Program,0.59,0.16,0.86,0.14,0.42,0.54,0.02,0,Greer,SC,South Atlantic
Prisma Health/University of South Carolina SOM Greenville (Seneca) Program,0.47,0.16,0.96,0.14,0.58,0.52,0.07,0.03,Seneca,SC,South Atlantic
ProHealth Waukesha Memorial Hospital Program,0.91,0.31,0.91,0.34,0.76,0.39,0.03,0,Waukesha,WI,East North Central
ProMedica Monroe Regional Hospital Program,0.54,0.36,0.75,0.33,0.68,0.66,0.27,0.04,Monroe,MI,East North Central
Providence Health & Services - Oregon/Hood River Rural Program,0.5,0.14,0.6,0.16,0.52,0.14,0.03,0,Hood River,OR,Pacific
Providence Health & Services - Oregon/Milwaukie Hospital Program,0.73,0.38,0.88,0.4,0.7,0.47,0.01,0,Milwaukie,OR,Pacific
Providence Hospital/Alaska Family Medicine Program,0.67,0.31,-,0.38,0.74,0.51,0.06,0,Anchorage,AK,Pacific
Providence Saint Joseph Hospital (Eureka) Program,0.53,0.23,0.26,0.25,0.47,0.39,0.17,0.06,Eureka,CA,Pacific
Puyallup Tribal Health Authority Program,0.7,0.25,0.68,0.23,0.46,0.32,0.02,0,Tacoma,WA,Pacific
Quinnipiac University Frank H. Netter MD School of Medicine Program,0.23,0.12,0.78,0.12,0.54,0.29,0.06,0.07,Hamden,CT,New England
Rapid City Hospital Program,0.71,0.38,0.8,0.41,0.79,0.88,0.07,0,Rapid City,SD,West North Central
Riverside University Health System/University of California Riverside Program,0.3,0.22,0.5,0.17,0.58,0.34,0.05,0,Moreno Valley,CA,Pacific
Robert Packer Hospital/Guthrie Program,0.09,0.2,0.31,0.18,0.43,0.28,0.16,0.16,Sayre,PA,Middle Atlantic
Rochester General Hospital Program,0.53,0.14,0.2,0.16,0.29,0.34,0.07,0.05,Batavia,NY,Middle Atlantic
Rush University Medical Center/Copley Memorial Hospital Program,0.17,0.12,0.53,0.08,0.3,0.2,0.06,0,Aurora,IL,East North Central
Rush University Medical Center/Esperanza Health Centers Program,0.3,0.15,0.4,0.13,0.34,0.13,0.13,0.01,Chicago,IL,East North Central
Rutgers Health/Robert Wood Johnson Medical School at CentraState Program,0.18,0.1,0.6,0.09,0.39,0.3,0.07,0.03,Freehold,NJ,Middle Atlantic
Rutgers Health/Robert Wood Johnson Medical School Program,0.28,0.09,0.52,0.07,0.26,0.15,0,0,New Brunswick,NJ,Middle Atlantic
Rutgers Health/Robert Wood Johnson University Hospital Somerset Program,0.34,0.14,0.67,0.13,0.27,0.29,0.13,0,Somerville,NJ,Middle Atlantic
Saint Joseph Health System Program,0.66,0.27,0.77,0.27,0.73,0.59,0.03,0.02,Mishawaka,IN,East North Central
Saint Joseph Hospital Program,0.72,0.35,0.73,0.38,0.64,0.35,0.01,0,Denver,CO,Mountain
Sam Houston Regional Education Consortium Program,-,-,-,-,-,-,-,-,Hunstville,TX,West South Central
Samaritan Health Services - Corvallis (Newport) Program,0.14,0.03,0.2,0.04,0.11,0.05,0.01,0,Newport,OR,Pacific
Samaritan Health Services - Corvallis Program,0.6,0.29,0.67,0.31,0.47,0.55,0.07,0,Corvallis,OR,Pacific
Samaritan Medical Center Program,-,-,-,-,-,-,-,-,Watertown,NY,Middle Atlantic
San Joaquin General Hospital Program,0.42,0.12,0.4,0.12,0.24,0.31,0.16,0.05,French Camp,CA,Pacific
Scripps Mercy Hospital Program,-,-,0.26,0.19,0.43,0.15,0.02,0,Chula Vista,CA,Pacific
Sea Mar Community Health Centers Program,-,-,-,-,-,-,-,-,Marysville,WA,Pacific
Self Regional Healthcare/Greenwood Program,0.82,0.2,0.76,0.22,0.51,0.36,0.06,0,Greenwood,SC,South Atlantic
Shannon Medical Center Program,0.08,0.23,0.88,0.14,0.69,0.69,0.06,0.03,San Angelo,TX,West South Central
Shasta Community Health Center Program,0.53,0.24,0.58,0.19,0.37,0.62,0.03,0,Redding,CA,Pacific
Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,0.79,0.1,0.4,0.18,0.44,0.02,0.01,0,Philadelphia,PA,Middle Atlantic
Skagit Regional Health Program,0.7,0.26,0.58,0.25,0.46,0.39,0.03,0,Mt. Vernon,WA,Pacific
South Georgia Medical Education and Research Consortium Program,0.36,0.24,0.5,0.24,0.25,0.52,0.19,0,Moultrie,GA,South Atlantic
South Texas Health System GME Consortium Program,-,-,-,0.58,0.33,0.6,0.6,0.38,McAllen,TX,West South Central
Southern Illinois University (Alton) Program,0.32,0.09,0.54,0.09,0.41,0.32,0.07,0.06,Alton,IL,East North Central
Southern Illinois University (Carbondale) Program,0.43,0.09,0.32,0.11,0.42,0.26,0.11,0.05,Carbondale,IL,East North Central
Southern Illinois University (Decatur) Program,0.21,0.11,0.52,0.1,0.44,0.17,0.07,0.1,Decatur,IL,East North Central
Southern Illinois University (Quincy) Program,0.45,0.23,0.71,0.23,0.6,0.61,0.19,0.13,Quincy,IL,East North Central
Southern Illinois University Program,0.26,0.06,0.68,0.05,0.48,0.19,0.02,0.04,Springfield,IL,East North Central
Southern Regional Area Health Education Center/Duke University Hospital Program,0.66,0.08,0.5,0.1,0.2,0.19,0.06,0.06,Fayetteville,NC,South Atlantic
Southwest Healthcare Medical Education Consortium (Palmdale) Program,-,-,-,-,-,-,-,-,Palmdale,CA,Pacific
Southwest Healthcare Medical Education Consortium Program,0.26,0.15,0.47,0.12,0.33,0.52,0.04,0,Temecula,CA,Pacific
Southwest Mississippi Regional Medical Center Program,0.48,0.25,0.82,0.2,0.5,0.75,0.11,0,McComb,MS,East South Central
Sovah Health-Danville Program,0.41,0.11,0.66,0.09,0.21,0.38,0.03,0,Danville,VA,South Atlantic
Spartanburg Medical Center Program,0.68,0.32,0.9,0.3,0.56,0.45,0,0,Spartanburg,SC,South Atlantic
Spokane Teaching Health Center Rural Program,-,-,0.55,0.13,0.44,0.15,0,0,Colville,WA,Pacific
Spokane Teaching Health Center/Sacred Heart Medical Center Program,0.77,0.37,0.67,0.38,0.64,0.38,0,0,Spokane,WA,Pacific
SSM Health St Anthony Hospital Program,0.7,0.17,0.9,0.17,0.63,0.51,0.07,0.05,Oklahoma City,OK,West South Central
SSM Health/Saint Louis University School of Medicine (Saint Louis) Program,0.69,0.39,0.87,0.32,0.81,0.57,0.02,0.02,St. Louis,MO,West North Central
SSM Health/Saint Louis University School of Medicine (Southwest Illinois) Program,-,-,0.89,0.31,0.91,0.89,0.13,0.09,O'Fallon,IL,East North Central
St Elizabeth Boardman Hospital Program,-,-,-,-,-,-,-,-,Boardman,OH,East North Central
St Elizabeth Medical Center Program,0.74,0.22,0.86,0.22,0.82,0.58,0.03,0,Edgewood,KY,East South Central
St Elizabeth Youngstown Hospital/NEOMED Program,0.1,0.13,0.81,0.11,0.61,0.45,0.11,0.06,Youngstown,OH,East North Central
St Francis Hospital Program,0.28,0.07,-,0.09,0.24,0.24,0.12,0.02,Wilmington,DE,South Atlantic
St John's Episcopal Hospital-South Shore Program,0.12,0.07,0.31,0.06,0.21,0.27,0.06,0.02,Far Rockaway,NY,Middle Atlantic
St Joseph's Health/SUNY Health Science Center at Syracuse Program,0.28,0.04,0.3,0.05,0.23,0.13,0.02,0.07,Syracuse,NY,Middle Atlantic
St Joseph's Medical Center Program,-,-,0.58,0.25,0.53,0.55,0.25,0.1,Stockton,CA,Pacific
St Joseph's University Medical Center Program,0.24,0.02,0.18,0.04,0.06,0.06,0.05,0.02,Clifton,NJ,Middle Atlantic
St Luke's Hospital-Anderson Campus Program,0.34,0.15,0.56,0.11,0.64,0.24,0.08,0,Easton,PA,Middle Atlantic
St Luke's University Hospital Program,-,-,-,-,-,-,-,-,Bethlehem,PA,Middle Atlantic
St Luke's University Hospital Rural Program,0.13,0.09,0.78,0.06,0.65,0.59,0.05,0.01,Coaldale,PA,Middle Atlantic
St Luke's University Hospital/Sacred Heart Program,0.26,0.11,0,0.13,0.03,0,0.17,0.03,Allentown,PA,Middle Atlantic
St Luke's University Hospital/Warren Hospital Program,0.25,0.14,0.93,0.13,0.67,0.52,0.11,0.01,Phillipsburg,NJ,Middle Atlantic
St Mary's Hospital and Medical Center Program,0.69,0.27,0.64,0.3,0.53,0.33,0,0,Grand Junction,CO,Mountain
St Peter Hospital (Chehalis) Program,0.33,0.26,0.62,0.23,0.56,0.46,0.1,0.12,Chehalis,WA,Pacific
St Peter Hospital (Elma) Program,0.13,0.2,0.38,0.19,0.5,0.41,0.1,0.17,Elma,WA,Pacific
St Peter Hospital (Olympia) Program,0.5,0.2,0.64,0.2,0.6,0.38,0.03,0.03,Olympia,WA,Pacific
St Vincent's East Program,-,-,0.64,0.15,0.62,0.37,0.05,0,Birmingham,AL,East South Central
St Vincent's Medical Center Program,0.42,0.15,0.51,0.15,0.7,0.18,0,0,Jacksonville,FL,South Atlantic
St. Agnes Medical Center (Fresno) Program,-,-,0.52,0.13,0.49,0.54,0.08,0.08,Fresno,CA,Pacific
St. Mary Medical Center Program,0.14,0.05,0.28,0.04,0.3,0.17,0.06,0,Langhorne,PA,Middle Atlantic
Stamford Hospital/Columbia University College of Physicians and Surgeons Program,0.36,0.17,0.79,0.17,0.69,0.58,0,0,Stamford,CT,New England
Stanford Health Care Tri-Valley Program,-,-,-,-,-,-,-,-,Pleasanton,CA,Pacific
Stanford Health Care-Sponsored Stanford University Program,0.25,0.09,0.18,0.11,0.22,0.06,0,0,San Jose,CA,Pacific
Still OPTI/Northeast Regional Medical Center Program,-,-,-,-,-,-,-,-,Kirksville,MO,West North Central
Still OPTI/Peak Vista Program,-,-,-,-,-,-,-,-,Colorado Springs,CO,Mountain
Stony Brook Medicine/Southampton Hospital Program,0.42,0.09,0.52,0.08,0.44,0.38,0.08,0.01,Southampton,NY,Middle Atlantic
Suburban Community Hospital (Lower Bucks Hospital) Program,0.31,0.15,0.56,0.13,0.13,0.42,0.1,0.09,Bristol,PA,Middle Atlantic
Suburban Community Hospital Program,0.51,0.16,0.49,0.15,0.26,0.32,0.11,0.13,Norristown,PA,Middle Atlantic
Summa Health System/Barberton Campus Program,0.3,0.05,0.31,0.05,0.24,0.08,0.06,0.04,Barberton,OH,East North Central
Summa Health System/NEOMED Program,0.78,0.26,0.96,0.24,0.62,0.63,0.09,0.1,Akron,OH,East North Central
SUNY Downstate Health Sciences University Program,0.3,0.04,0.4,0.06,0.37,0.05,0.04,0.04,Brooklyn,NY,Middle Atlantic
SUNY Upstate Medical University Program,0.15,0.06,0.4,0.06,0.39,0.29,0.08,0.01,Syracuse,NY,Middle Atlantic
Sutter Health Program,0.63,0.12,0.38,0.13,0.45,0.16,0.01,0,Sacramento,CA,Pacific
Sutter Health Rural Program,-,-,-,-,-,-,-,-,Jackson,CA,Pacific
Sutter Health/Memorial Medical Center Program,-,-,-,-,-,-,-,-,Modesto,CA,Pacific
Sutter Santa Rosa Regional Hospital/University of California (San Francisco) Program,0.43,0.17,0.33,0.17,0.43,0.12,0.03,0,Santa Rosa,CA,Pacific
Swedish Hospital Program,0.31,0.1,0.35,0.1,0.04,0.45,0.04,0.02,Chicago,IL,East North Central
Swedish Medical Center Rural Program,0.5,0.12,0.48,0.13,0.39,0.09,0,0,Port Angeles,WA,Pacific
Swedish Medical Center/Cherry Hill Program,0.48,0.13,0.37,0.19,0.39,0.16,0,0,Seattle,WA,Pacific
Swedish Medical Center/First Hill Program,0.42,0.19,0.38,0.22,0.39,0.13,0,0,Seattle,WA,Pacific
Tallahassee Memorial Healthcare Family Medicine Program,0.24,0.06,0.44,0.05,0.44,0.25,0.02,0.01,Tallahassee,FL,South Atlantic
Temple University Hospital Program,0.35,0.13,0.58,0.11,0.49,0.35,0,0,Philadelphia,PA,Middle Atlantic
Temple University Hospital/Chestnut Hill Hospital Program,-,-,0.57,0.18,0.73,0.18,0,0,Philadelphia,PA,Middle Atlantic
Temple University Hospital/Northwest Community Program,0.13,0.13,0.68,0.11,0.68,0.62,0.04,0.02,Philadelphia,PA,Middle Atlantic
Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program,0.52,0.11,0.48,0.03,0.35,0.2,0.01,0,Temple,TX,West South Central
Texas A&M University School of Medicine Program,0.55,0.12,0.34,0.16,0.35,0.2,0,0,Bryan,TX,West South Central
Texas Institute for Graduate Medical Education and Research (TIGMER) Program,0.38,0.16,0.43,0.12,0.04,0.49,0,0,San Antonio,TX,West South Central
Texas Institute for Graduate Medical Education and Research (TIGMER)/Laredo Medical Center Program,0.39,0.26,0.75,0.22,0.52,0.57,0.23,0.04,Laredo,TX,West South Central
Texas Tech University (Amarillo) Program,0.17,0.13,0.7,0.06,0.52,0.42,0.04,0,Amarillo,TX,West South Central
Texas Tech University (Permian Basin) Program,0.24,0.09,0.47,0.11,0.42,0.25,0.11,0.05,Odessa,TX,West South Central
Texas Tech University Health Sciences Center at Lubbock Program,0.36,0.22,0.83,0.11,0.75,0.59,0.01,0.02,Lubbock,TX,West South Central
Texas Tech University HSC El Paso Program,0.25,0.15,0.56,0.1,0.64,0.34,0.06,0.01,El Paso,TX,West South Central
Texas Tech University HSC El Paso/Hospitals of Providence Transmountain Campus Program,0.21,0.2,0.51,0.18,0.55,0.38,0.23,0.05,El Paso,TX,West South Central
Texoma Medical Center Program,0.13,0.19,0.67,0.12,0.44,0.5,0.06,0.06,Denison,TX,West South Central
The Medical Center (Columbus) Program,0.38,0.15,0.79,0.17,0.66,0.55,0.07,0.11,Columbus,GA,South Atlantic
The MetroHealth System/Case Western Reserve University Program,0.47,0.15,0.98,0.12,0.59,0.55,0.01,0.02,Cleveland,OH,East North Central
The University of Montana Program,0.64,0.18,-,0.32,0.52,0.18,0,0,Missoula,MT,Mountain
Tidelands Health Program,0.89,0.37,1,0.37,0.84,0.63,0.09,0,Myrtle Beach,SC,South Atlantic
Tower Health/Reading Hospital Program,0.4,0.15,0.58,0.15,0.75,0.51,0.08,0.07,West Reading,PA,Middle Atlantic
TriHealth (Bethesda North Hospital) Program,-,-,-,-,-,-,-,-,Cincinnati,OH,East North Central
Trinity Health Grand Rapids Program,0.57,0.18,0.69,0.14,0.68,0.32,0.07,0.07,Grand Rapids,MI,East North Central
Trinity Health Livingston Hospital Program,0.52,0.11,0.72,0.1,0.6,0.36,0.11,0.06,Brighton,MI,East North Central
Trinity Health Livonia Hospital/Wayne State University Program,0.28,0.17,0.63,0.12,0.57,0.49,0.08,0.08,Livonia,MI,East North Central
Trinity Health Muskegon Program,0.31,0.15,0.51,0.12,0.53,0.4,0,0.01,Muskegon,MI,East North Central
Trios Health Program,0.55,0.49,0.91,0.43,0.92,0.83,0.09,0,Kennewick,WA,Pacific
Tripler Army Medical Center Program,-,-,-,-,-,-,-,-,Honolulu,HI,Pacific
Tufts University at Cambridge Health Alliance Program,0.51,0.11,0.7,0.16,0.41,0.11,0.01,0.01,Malden,MA,New England
U P Health System-Marquette Program,0.67,0.09,0.39,0.07,0.34,0.13,0.05,0,Marquette,MI,East North Central
UAMS Regional Centers Program,-,-,0.8,0.06,0.57,0.13,0.06,0.04,Crossett,AR,West South Central
UCLA David Geffen School of Medicine/UCLA Medical Center Program,0.39,0.11,0.29,0.13,0.34,0.01,0.01,0,Santa Monica,CA,Pacific
UMass Chan Medical School (Fitchburg) Program,0.7,0.04,0.74,0.09,0.26,0.17,0.09,0.06,Fitchburg,MA,New England
UMass Chan Medical School Program,-,-,-,-,-,-,-,-,Worcester,MA,New England
Union Hospital Program,0.63,0.21,0.86,0.19,0.56,0.56,0.15,0.07,Terre Haute,IN,East North Central
United Health Services Hospitals Program,-,-,-,-,-,-,-,-,Johnson City,NY,Middle Atlantic
United Hospital Center Program,0.92,0.37,0.88,0.35,0.56,0.65,0.24,0.06,Bridgeport,WV,South Atlantic
Unity Health-White County Medical Center Program,0.5,0.23,1,0.18,0.74,0.86,0.03,0,Searcy,AR,West South Central
Univ of North Dakota School of Medicine and Health Sciences Program,0.09,0.07,0.89,0.06,0.84,0.44,0.04,0.03,Fargo,ND,West North Central
Univ of North Dakota School of Medicine and Health Sciences Rural Program,0.17,0.07,0,0.07,0.05,0,0.05,0.09,Minot,ND,West North Central
University at Buffalo Program,0.25,0.08,0.31,0.09,0.48,0.3,0.07,0.04,Buffalo,NY,Middle Atlantic
University at Buffalo Rural Program,0.1,0.03,0.13,0.03,0.17,0.04,0.02,0.04,Buffalo,NY,Middle Atlantic
University at Buffalo/Sisters of Charity Hospital Program,0.13,0.02,0.05,0.03,0,0.06,0,0,Buffalo,NY,Middle Atlantic
University Hospitals Community Consortium (Regionals) Program,0.67,0.18,0.92,0.14,0.38,0.39,0.12,0.01,Chardon,OH,East North Central
University Hospitals Community Consortium (Westlake) Program,0.54,0.17,0.76,0.1,0.26,0.38,0,0,Westlake,OH,East North Central
University of Alabama Medical Center (Huntsville) Program,0.76,0.07,0.73,0.09,0.46,0.35,0.04,0.02,Huntsville,AL,East South Central
University of Alabama Medical Center (Selma Dallas County) Program,0.16,0.07,0.71,0.07,0.43,0.54,0.08,0.03,Selma,AL,East South Central
University of Alabama-Tuscaloosa Program,0.26,0.16,0.82,0.15,0.81,0.79,0.09,0.06,Tuscaloosa,AL,East South Central
University of Arizona College of Medicine - Phoenix/Payson Program,-,-,-,-,-,-,-,-,Payson,AZ,Mountain
University of Arizona College of Medicine-Phoenix Program,0.63,0.11,0.4,0.13,0.39,0.11,0,0,Phoenix,AZ,Mountain
University of Arizona College of Medicine-Tucson Program,0.58,0.33,0.81,0.31,0.79,0.37,0.1,0.04,Tucson,AZ,Mountain
University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,0.22,0.04,0.64,0.04,0.29,0.17,0.04,0.02,Little Rock,AR,West South Central
University of Arkansas for Medical Sciences Regional Centers (North Central) Program,0.36,0.24,0.84,0.2,0.57,0.61,0.17,0,Batesville,AR,West South Central
University of Arkansas for Medical Sciences Regional Centers (Northeast) Program,0.55,0.37,1,0.32,0.78,0.83,0.22,0,JONESBORO,AR,West South Central
University of Arkansas for Medical Sciences Regional Centers (Northwest) Program,0.61,0.27,0.91,0.25,0.9,0.81,0.08,0.05,Fayetteville,AR,West South Central
University of Arkansas for Medical Sciences Regional Centers (South Central) Program,0.36,0.16,1,0.15,0.53,0.64,0.12,0.05,Pine Bluff,AR,West South Central
University of Arkansas for Medical Sciences Regional Centers (Texarkana) Program,0.67,0.23,1,0.2,0.71,0.81,0.13,0.09,Texarkana,AR,West South Central
University of Arkansas for Medical Sciences Regional Centers (West) Program,0.58,0.19,0.87,0.15,0.58,0.57,0.09,0.03,Fort Smith,AR,West South Central
University of Arkansas for Medical Sciences Regional Centers Program,0.3,0.12,0.76,0.08,0.4,0.46,0.03,0,Berryville,AR,West South Central
University of California (Irvine) Program,0.32,0.25,0.34,0.23,0.53,0.08,0.01,0,Orange,CA,Pacific
University of California (San Diego) Medical Center Program,0.33,0.12,0.28,0.13,0.31,0.04,0.01,0,San Diego,CA,Pacific
University of California (San Francisco) Program,0.32,0.11,0.22,0.14,0.3,0.02,0,0,San Francisco,CA,Pacific
University of California (San Francisco)/Fresno Program,0.31,0.24,0.48,0.21,0.59,0.4,0.14,0.09,Fresno,CA,Pacific
University of California Davis Health Program,0.56,0.27,0.35,0.31,0.61,0.15,0,0,Sacramento,CA,Pacific
University of California Riverside School of Medicine/St. Bernardine Medical Center - Dignity Health Program,-,-,-,-,-,-,-,-,San Bernardino,CA,Pacific
University of Central Florida/HCA Florida Healthcare (Gainesville) Program,0.35,0.1,0.74,0.07,0.36,0.35,0.03,0,Gainesville,FL,South Atlantic
University of Central Florida/HCA Florida Healthcare (Ocala) Program,0.43,0.15,0.5,0.14,0.3,0.37,0.09,0.02,Ocala,FL,South Atlantic
University of Chicago (NorthShore) Program,0.48,0.13,0.48,0.13,0.33,0.14,0,0,Evanston,IL,East North Central
"University of Cincinnati, West Chester Hospital Program",0.36,0.16,0.95,0.11,0.65,0.56,0.01,0.02,West Chester,OH,East North Central
University of Colorado (Rural Training Track) Program,0.47,0.14,0.25,0.16,0.39,0.03,0,0,Denver,CO,Mountain
University of Colorado (University Hospital) Program,0.52,0.11,0.43,0.18,0.3,0.04,0,0,Denver,CO,Mountain
University of Connecticut Program,0.17,0.07,0.69,0.07,0.21,0.27,0.05,0.03,Hartford,CT,New England
University of Florida College of Medicine Program,0.35,0.08,0.26,0.09,0.34,0.29,0.04,0,Miramar Beach,FL,South Atlantic
University of Florida Program,0.58,0.16,0.67,0.14,0.47,0.3,0,0,Gainesville,FL,South Atlantic
University of Hawaii Program,0.25,0.07,1,0.09,0.41,0.22,0.02,0.01,Aiea,HI,Pacific
University of Illinois College of Medicine (Rockford) Rural Program,0.14,0.08,0.55,0.07,0.53,0.28,0.08,0.03,Dixon,IL,East North Central
University of Illinois College of Medicine at Chicago Program,0.48,0.12,0.45,0.12,0.35,0.04,0,0,Chicago,IL,East North Central
University of Illinois College of Medicine at Peoria (Bloomington) Program,-,-,-,-,-,-,-,-,Bloomington,IL,East North Central
University of Illinois College of Medicine at Peoria Program,0.46,0.24,0.7,0.22,0.55,0.39,0.1,0,Peoria,IL,East North Central
University of Illinois College of Medicine at Rockford Program,0.28,0.1,0.74,0.1,0.6,0.66,0.04,0.06,Rockford,IL,East North Central
University of Iowa Hospitals and Clinics (Sioux City) Program,0.38,0.24,0.88,0.19,0.64,0.7,0.02,0,Sioux City,IA,West North Central
University of Iowa Hospitals and Clinics Program,0.55,0.15,0.81,0.14,0.6,0.52,0.02,0.02,Iowa City,IA,West North Central
University of Kansas (Wichita)/Salina Program,0.7,0.02,0.89,0.05,0.4,0.14,0.02,0.02,Salina,KS,West North Central
University of Kansas (Wichita)/Via Christi Hospitals Wichita Program,0.78,0.31,0.88,0.4,0.66,0.48,0.05,0.02,Wichita,KS,West North Central
University of Kansas (Wichita)/Wesley Program,-,-,-,-,-,-,-,-,Wichita,KS,West North Central
University of Kansas School of Medicine Program,0.65,0.28,0.83,0.31,0.64,0.44,0.01,0.02,Kansas City,KS,West North Central
University of Kansas School of Medicine Program,-,-,-,-,-,-,-,-,Olathe,KS,West North Central
University of Kansas School of Medicine/CHCSEK (Pittsburg) Program,0.2,0.21,0.89,0.19,0.59,0.88,0,0.04,Kansas City,KS,West North Central
University of Kentucky College of Medicine (Hazard) Program,-,-,-,-,-,-,-,-,Hazard,KY,East South Central
University of Kentucky College of Medicine (Morehead) Rural Program,0.48,0.08,0.55,0.06,0.23,0.27,0,0,Morehead,KY,East South Central
University of Kentucky College of Medicine Program,-,-,-,-,-,-,-,-,Lexington,KY,East South Central
University of Louisville School of Medicine (Glasgow) Program,0.28,0.05,0.58,0.04,0.57,0.34,0.02,0.01,Glasgow,KY,East South Central
University of Louisville School of Medicine (Owensboro) Program,0.34,0.31,0.95,0.24,0.78,0.82,0.12,0.07,Owensboro,KY,East South Central
University of Louisville School of Medicine Program,0.46,0.1,0.91,0.08,0.62,0.34,0.02,0.02,Louisville,KY,East South Central
University of Maryland Capital Region Health Program,0.19,0.07,0.67,0.08,0.29,0.21,0.07,0.05,Largo,MD,South Atlantic
University of Maryland Program,0.4,0.12,1,0.13,0.39,0.2,0.01,0,Baltimore,MD,South Atlantic
University of Miami/Jackson Health System Program,0.17,0.07,0.53,0.05,0.35,0.09,0.01,0.01,Miami,FL,South Atlantic
University of Michigan Health - Sparrow/Michigan State University Program,0.36,0.08,0.68,0.06,0.38,0.21,0.05,0.05,Lansing,MI,East North Central
University of Michigan Health-West Program,-,-,-,-,-,-,-,-,Wyoming,MI,East North Central
University of Michigan Program,0.63,0.1,0.45,0.15,0.37,0.1,0,0,Ann Arbor,MI,East North Central
University of Minnesota (Duluth) Program,0.58,0.16,0.78,0.19,0.53,0.26,0,0,Duluth,MN,West North Central
University of Minnesota Program,-,-,-,-,-,-,-,-,Willmar,MN,West North Central
University of Minnesota/CentraCare St. Cloud Program,0.44,0.15,0.92,0.15,0.51,0.29,0.12,0.04,St Cloud,MN,West North Central
University of Minnesota/Methodist Hospital Program,0.65,0.2,1,0.18,0.65,0.42,0.03,0,St. Louis Park,MN,West North Central
