Program,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Trinity Health Grand Rapids Program,0.4,0.02,0.35,0.12,0.01,0,Grand Rapids,MI,East North Central
Trinity Health Livonia Hospital/Wayne State University Program,0.5,0.04,0.37,0.24,0.04,0.03,Livonia,MI,East North Central
Trinity Health Muskegon Program,0.71,0.07,0.36,0.28,0.02,0.03,Muskegon,MI,East North Central
Trinity Health Oakland/Wayne State University Program,0.15,0.03,0.11,0.02,0.03,0.03,Pontiac,MI,East North Central
Trinity Health System Program,0.77,0.04,0.54,0.43,0.01,0.01,Steubenville,OH,East North Central
Trios Health Program,0.6,0.14,0.31,0.47,0.01,0,Kennewick,WA,Pacific
Tripler Army Medical Center Program,0.5,0.2,0.4,0.29,0.19,0,Tripler AMC,HI,Pacific
Tufts Medical Center Program,0.63,0.19,0.35,0.01,0.03,0.04,Boston,MA,New England
Tulane University Program,0.7,0.17,0.42,0.03,0.05,0.01,New Orleans,LA,West South Central
UCLA David Geffen School of Medicine/UCLA Medical Center Program,0.28,0.13,0.23,0.01,0.01,0,Los Angeles,CA,Pacific
UMass Chan - Baystate Program,0.55,0.05,0.33,0.23,0.03,0.02,Springfield,MA,New England
UMass Chan Medical School Program,0.88,0.18,0.44,0.14,0.03,0.04,Worcester,MA,New England
UNC Health Blue Ridge Program,0.56,0.13,0.21,0.31,0.03,0.03,Morganton,NC,South Atlantic
United Health Services Hospitals Program,-,-,-,-,-,-,Johnson City,NY,Middle Atlantic
Unity Health-White County Medical Center Program,0.83,0.1,0.12,0.41,0.05,0.03,Searcy,AR,West South Central
Universidad Central del Caribe Program,-,-,-,-,-,-,Bayamon,PR,South Atlantic
University at Buffalo (Catholic Health System--Sisters of Charity) Program,0.12,0.03,0.11,0.07,0.02,0.03,Buffalo,NY,Middle Atlantic
University at Buffalo Program,0.35,0.05,0.31,0.23,0.02,0.02,Buffalo,NY,Middle Atlantic
University Hospitals Community Consortium (Parma) Program,0.97,0.2,0.47,0.32,0.12,0.04,Parma,OH,East North Central
University Hospitals Community Consortium (Westlake) Program,0.84,0.15,0.42,0.38,0.01,0.03,Westlake,OH,East North Central
University Hospitals Community Consortium Program,0.85,0.1,0.43,0.39,0.02,0.01,Chardon,OH,East North Central
University of Alabama Hospital Program,-,-,-,-,-,-,Huntsville,AL,East South Central
University of Alabama Medical Center (Montgomery) Program,0.35,0.02,0.14,0.09,0.01,0.02,Montgomery,AL,East South Central
University of Alabama Medical Center Program,0.52,0.17,0.44,0.02,0.01,0.03,Birmingham,AL,East South Central
University of Arizona College of Medicine-Phoenix Program,0.37,0.08,0.16,0.09,0.01,0.01,Phoenix,AZ,Mountain
University of Arizona College of Medicine-Tucson Program,0.49,0.13,0.33,0.21,0.02,0.02,Tucson,AZ,Mountain
University of Arkansas for Medical Sciences (UAMS) College of Medicine (Northwest) Program,0.54,0.12,0.38,0.31,0.07,0,Fayetteville,AR,West South Central
University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,0.51,0.05,0.39,0.03,0.01,0.02,Little Rock,AR,West South Central
University of Arkansas for Medical Sciences Regional Centers Program,0.9,0.08,0.45,0.44,0.01,0,Fayetteville,AR,West South Central
University of California (Irvine) Program,-,-,-,-,-,-,Orange,CA,Pacific
University of California (San Diego) Medical Center Program,0.42,0.16,0.3,0.03,0,0,San Diego,CA,Pacific
University of California (San Francisco) Program,-,-,-,-,-,-,San Francisco,CA,Pacific
University of California (San Francisco)/Fresno Program,0.38,0.09,0.11,0.4,0.11,0.02,Fresno,CA,Pacific
University of California Davis Health Program,0.3,0.11,0.24,0,0,0,Sacramento,CA,Pacific
University of California Riverside School of Medicine/St. Bernardine Medical Center - Dignity Health Program,0.34,0.03,0.17,0.13,0.03,0.02,San Bernardino,CA,Pacific
UNIVERSITY OF CENTRAL FLORIDA/HCA FLORIDA HEALTHCARE (FORT WALTON BEACH) PROGRAM,-,0.07,0.33,0.47,0.02,0.09,Fort Walton Beach,FL,South Atlantic
University of Central Florida/HCA Florida Healthcare (Gainesville) Program,-,-,-,-,-,-,Gainesville,FL,South Atlantic
University of Central Florida/HCA Florida Healthcare (Greater Orlando/Lake Monroe) Program,0.44,0.1,0.18,0.25,0.13,0.05,Sanford,FL,South Atlantic
University of Central Florida/HCA Florida Healthcare (Greater Orlando/Osceola) Program,0.56,0.07,0.32,0.23,0.08,0.02,Kissimmee,FL,South Atlantic
University of Central Florida/HCA Florida Healthcare (Ocala) Program,0.41,0.1,0.37,0.28,0.14,0.04,Ocala,FL,South Atlantic
University of Central Florida/HCA Florida Healthcare (Pensacola) Program,-,-,-,-,-,-,Pensacola,FL,South Atlantic
University of Chicago (NorthShore) Program,0.41,0.08,0.24,0.13,0.01,0.01,Evanston,IL,East North Central
University of Chicago Program,0.26,0.08,0.14,0.01,0,0.01,Chicago,IL,East North Central
University of Cincinnati Medical Center/College of Medicine Program,0.39,0.1,0.19,0.12,0.01,0.02,Cincinnati,OH,East North Central
University of Colorado Program,0.62,0.13,0.2,0.02,0.01,0.04,Aurora,CO,Mountain
University of Connecticut (New Britain) Program,0.91,0.11,0.4,0.59,0.08,0.06,Farmington,CT,New England
University of Connecticut Program,0.83,0.07,0.19,0.12,0.06,0.05,Farmington,CT,New England
University of Florida College of Medicine (Pensacola) Program,0.19,0.07,0.19,0.2,0.03,0.01,Pensacola,FL,South Atlantic
University of Florida College of Medicine Jacksonville Program,0.16,0.03,0.09,0.06,0.01,0,Jacksonville,FL,South Atlantic
University of Florida Program,0.56,0.12,0.37,0.1,0,0.01,Gainesville,FL,South Atlantic
University of Hawaii John A Burns School of Medicine Program,1,0.04,0.69,0.37,0.01,0.01,Honolulu,HI,Pacific
University of Hawaii Program,0.97,0.11,0.37,0.25,0.04,0.05,Honolulu,HI,Pacific
University of Illinois College of Medicine at Chicago Program,0.5,0.15,0.32,0.06,0.02,0.02,Chicago,IL,East North Central
University of Illinois College of Medicine at Peoria Program,0.3,0.02,0.12,0.09,0.02,0.01,Peoria,IL,East North Central
University of Iowa (Des Moines) Program,0.84,0.12,0.24,0.21,0.02,0,Des Moines,IA,West North Central
University of Iowa Hospitals and Clinics Program,0.68,0.18,0.38,0.01,0.01,0.01,Iowa City,IA,West North Central
University of Kansas (Wichita) Program,0.7,0.03,0.31,0.15,0.02,0.02,Wichita,KS,West North Central
University of Kansas School of Medicine (Olathe) Program,-,-,-,-,-,-,Olathe,KS,West North Central
University of Kansas School of Medicine Program,0.53,0.08,0.2,0.15,0.01,0.02,Kansas City,KS,West North Central
University of Kentucky College of Medicine (Bowling Green) Program,0.54,0.04,0.36,0.19,0.01,0.01,Bowling Green,KY,East South Central
University of Kentucky College of Medicine Program,0.28,0.11,0.2,0.14,0.02,0.02,Lexington,KY,East South Central
University of Louisville School of Medicine Program,0.66,0.15,0.41,0.21,0.02,0.01,Louisville,KY,East South Central
University of Maryland Capital Region Health Program,0.33,0.03,0.2,0.18,0.03,0.02,Largo,MD,South Atlantic
University of Maryland Medical Center Midtown Campus Program,0.83,0.03,0.04,0.12,0.03,0.03,Baltimore,MD,South Atlantic
University of Maryland Program,0.93,0.22,0.48,0.04,0.01,0.01,Baltimore,MD,South Atlantic
University of Miami Hospital and Clinics/Holy Cross Hospital Program,0.46,0.04,0.3,0.07,0.03,0.02,Fort Lauderdale,FL,South Atlantic
University of Miami/Jackson Health System Program,0.33,0.06,0.21,0.07,0,0.02,Miami,FL,South Atlantic
University of Michigan Health - Sparrow/Michigan State University Program,0.16,0.02,0.1,0.03,0.01,0.02,Lansing,MI,East North Central
University of Michigan Health-West Program,-,-,-,-,-,-,Wyoming,MI,East North Central
University of Michigan Program,0.37,0.19,0.33,0,0,0,Ann Arbor,MI,East North Central
University of Minnesota Program,0.98,0.1,0.34,0.09,0.01,0.01,Minneapolis,MN,West North Central
University of Mississippi Medical Center Program,0.51,0.08,0.38,0.16,0.01,0.01,Jackson,MS,East South Central
University of Missouri-Columbia Program,0.17,0.02,0.16,0.07,0,0,Columbia,MO,West North Central
University of Missouri-Kansas City School of Medicine Program,0.31,0.03,0.14,0.1,0.02,0.02,Kansas City,MO,West North Central
University of Nebraska Medical Center College of Medicine Program,0.85,0.13,0.41,0.1,0.05,0.02,Omaha,NE,West North Central
University of Nevada Reno School of Medicine Program,0.38,0.05,0.25,0.16,0.01,0.01,Reno,NV,Mountain
University of New Mexico School of Medicine Program,0.67,0.14,0.39,0.26,0.03,0.02,Albuquerque,NM,Mountain
University of North Carolina Hospitals Program,0.29,0.12,0.17,0.03,0,0.01,Chapel Hill,NC,South Atlantic
University of North Dakota Program,0.81,0.02,0.25,0.13,0.01,0.02,Fargo,ND,West North Central
University of Oklahoma Health Sciences Center Program,-,-,-,-,-,-,Oklahoma City,OK,West South Central
University of Oklahoma School of Community Medicine (Tulsa) Program,0.94,0.07,0.26,0.24,0,0.01,Tulsa,OK,West South Central
University of Pennsylvania Health System Program,0.25,0.1,0.18,0.03,0,0.01,Philadelphia,PA,Middle Atlantic
University of Puerto Rico Program,-,-,-,-,-,-,San Juan,PR,South Atlantic
University of Rochester Program,0.35,0.1,0.31,0.07,0,0,Rochester,NY,Middle Atlantic
University of South Dakota Program,0.86,0.03,0.25,0.12,0.02,0.03,Sioux Falls,SD,West North Central
University of South Florida Morsani Program,0.32,0.05,0.17,0.05,0,0.01,Tampa,FL,South Atlantic
University of Southern California/Los Angeles General Medical Center (USC/LA General) Program,0.43,0.14,0.29,0.03,0.03,0,Los Angeles,CA,Pacific
University of Tennessee (Nashville) Program,0.61,0.06,0.2,0.05,0.01,0.01,Nashville,TN,East South Central
University of Tennessee College of Medicine at Chattanooga Program,0.32,0.08,0.22,0.15,0.01,0.01,Chattanooga,TN,East South Central
University of Tennessee Medical Center at Knoxville Program,0.42,0.09,0.25,0.14,0.02,0.01,Knoxville,TN,East South Central
University of Tennessee Program,0.7,0.11,0.26,0.17,0.02,0.01,Memphis,TN,East South Central
University of Texas at Austin Dell Medical School Program,0.48,0.09,0.27,0.06,0,0,Austin,TX,West South Central
University of Texas Health Science Center at Houston Program,0.34,0.05,0.17,0.07,0.05,0.03,Houston,TX,West South Central
University of Texas Health Science Center at Tyler Program,0.49,0.08,0.24,0.29,0.11,0,Tyler,TX,West South Central
University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,0.41,0.03,0.23,0.12,0.01,0.01,San Antonio,TX,West South Central
University of Texas Medical Branch Hospitals Program,0.46,0.06,0.37,0.16,0.02,0.01,Galveston,TX,West South Central
University of Texas RGV (HCA) Program,-,-,-,-,-,-,McAllen,TX,West South Central
University of Texas RGV (Knapp) Program,0.28,0.03,0.22,0.07,0.04,0.02,Weslaco,TX,West South Central
University of Texas RGV (VBMC) Program,0.36,0.03,0.35,0.05,0.06,0.01,Harlingen,TX,West South Central
University of Texas Southwestern Medical Center Program,0.34,0.12,0.28,0.01,0.01,0.03,Dallas,TX,West South Central
University of Toledo Program,0.48,0.04,0.26,0.02,0.02,0.03,Toledo,OH,East North Central
University of Utah Health Program,0.59,0.28,0.57,0.04,0.01,0.02,Salt Lake City,UT,Mountain
University of Vermont Medical Center Program,0.62,0.17,0.34,0.09,0.02,0.04,Burlington,VT,New England
University of Virginia Medical Center Program,0.46,0.16,0.27,0.01,0.01,0,Charlottesville,VA,South Atlantic
University of Washington [Boise] Program,0.37,0.22,0.35,0.25,0.01,0.04,Boise,ID,Mountain
University of Washington Program,0.47,0.1,0.18,0.02,0.01,0.01,Seattle,WA,Pacific
University of Washington School of Medicine (Soldotna) Program,0.92,0.08,0.52,0.43,0.03,0,Soldotna,AK,Pacific
University of Wisconsin Hospitals and Clinics Program,0.72,0.12,0.32,0.01,0.01,0.02,Madison,WI,East North Central
UPMC Medical Education (Harrisburg) Program,0.3,0.05,0.28,0.18,0.11,0.02,Harrisburg,PA,Middle Atlantic
UPMC Medical Education Program,0.32,0.11,0.27,0.01,0.01,0.01,Pittsburgh,PA,Middle Atlantic
UPMC Medical Education/Lititz Program,0.52,0.19,0,0.42,0,0,Lititz,PA,Middle Atlantic
UPMC Medical Education/McKeesport Hospital Program,0.35,0.03,0.08,0.18,0.03,0.02,McKeesport,PA,Middle Atlantic
UPMC Medical Education/Mercy Program,0.24,0.03,0.11,0.17,0.03,0.02,Pittsburgh,PA,Middle Atlantic
USA Health Program,0.72,0.06,0.52,0.33,0.03,0.01,Mobile,AL,East South Central
VA Caribbean Healthcare System Program,0.56,0.08,0.53,0,0.1,0.01,San Juan,PR,South Atlantic
Valley Health System Program,0.49,0.16,0.65,0.36,0.07,0.04,Las Vegas,NV,Mountain
Vanderbilt University Medical Center Program,0.27,0.13,0.19,0.06,0.03,0.04,Nashville,TN,East South Central
Virginia Commonwealth University Health System Program,0.53,0.12,0.28,0.05,0.01,0.02,Richmond,VA,South Atlantic
Virginia Mason Franciscan Health Program,0.49,0.1,0.21,0.08,0.01,0.01,Seattle,WA,Pacific
Virginia Mason Franciscan Health/St Joseph's Hospital Program,0.92,0.27,0.72,0.61,0,0,Tacoma,WA,Pacific
Virtua Program,0.81,0.07,0.51,0.34,0.1,0.03,Voorhees,NJ,Middle Atlantic
Wake Forest University Baptist Medical Center Program,0.53,0.17,0.27,0.04,0,0,Winston-Salem,NC,South Atlantic
WakeMed Health and Hospitals Program,0.88,0.12,0.32,0.24,0.04,0.04,Raleigh,NC,South Atlantic
Washington University/B-JH/SLCH Consortium at Missouri Baptist Medical Center Program,-,-,-,-,-,-,St. Louis,MO,West North Central
Washington University/B-JH/SLCH Consortium Program,0.38,0.2,0.31,0.06,0.04,0.05,St Louis,MO,West North Central
Wayne State University School of Medicine Program,0.17,0.03,0.05,0.04,0.04,0.02,Rochester,MI,East North Central
Wellington Regional Medical Center Program,0.31,0.04,0.24,0.14,0.08,0.01,Wellington,FL,South Atlantic
Wellmont Health System/Norton Community Hospital Program,0.36,0.07,0.05,0.3,0.04,0.03,Norton,VA,South Atlantic
Wellspan Health/York Hospital Program,0.44,0.03,0.37,0.32,0.03,0.01,York,PA,Middle Atlantic
Wellstar Health System Spalding Program,0.6,0.06,0.23,0.21,0.03,0.06,Griffin,GA,South Atlantic
Wellstar Health System/Wellstar Cobb Hospital Program,0.04,0.02,0.04,0.05,0.01,0.02,Austell,GA,South Atlantic
Wellstar Health System/Wellstar Kennestone Regional Medical Center Program,0.71,0.08,0.39,0.22,0.04,0,Marietta,GA,South Atlantic
West Virginia University Program,0.59,0.09,0.55,0.15,0.03,0.03,Morgantown,WV,South Atlantic
West Virginia University School of Medicine/Camden-Clark Program,0.72,0.03,0.07,0.16,0.02,0.02,Parkersburg,WV,South Atlantic
Westchester Medical Center Program,0.6,0.05,0.59,0.2,0.02,0.02,Valhalla,NY,Middle Atlantic
Western Michigan University Homer Stryker MD School of Medicine Program,0.65,0.04,0.44,0.16,0.02,0.02,Kalamazoo,MI,East North Central
Western Reserve Health Education/NEOMED Program,0.59,0.02,0.23,0.15,0.03,0.02,Warren,OH,East North Central
Western Reserve Hospital Program,0.83,0.02,0.28,0.19,0.02,0.01,Cuyahoga Falls,OH,East North Central
White River Health System Program,0.64,0.06,0.42,0.17,0.08,0.04,Batesville,AR,West South Central
William Beaumont Army Medical Center Program,-,-,-,-,-,-,Fort Bliss,TX,West South Central
Willis-Knighton Health System Program,0.69,0.04,0.4,0.3,0.04,0.03,Shreveport,LA,West South Central
Womack Army Medical Center Program,-,-,-,-,-,-,Fort Liberty,NC,South Atlantic
Woodhull Medical and Mental Health Center Program,0.02,0.04,0.01,0.02,0.03,0.04,Brooklyn,NY,Middle Atlantic
Wright Center for Graduate Medical Education Program A,0.55,0.09,0.48,0.43,0.14,0.06,Scranton,PA,Middle Atlantic
Wright State University Program,0.83,0.1,0.38,0.11,0.02,0,Dayton,OH,East North Central
Wyckoff Heights Medical Center Program,0.02,0.05,0.08,0.04,0.08,0.04,Brooklyn,NY,Middle Atlantic
Yale-New Haven Medical Center (Primary Care) Program,1,0.19,0.73,0.22,0.01,0.01,New Haven,CT,New England
Yale-New Haven Medical Center (Waterbury) Program,0.36,0.02,0.15,0.09,0.01,0.01,Waterbury,CT,New England
Yale-New Haven Medical Center Program,0.4,0.1,0.21,0,0.02,0.02,New Haven,CT,New England
Zucker School of Medicine at Hofstra/Northwell at Forest Hills Hospital Program,0.46,0.12,0.42,0.32,0.13,0.01,Forest Hills,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell at Lenox Hill Hospital Program,0.43,0.06,0.25,0.21,0.01,0,New York,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell at Mather Hospital Program,0.38,0.03,0.31,0.24,0.05,0.01,Port Jefferson,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell at Northern Westchester Hospital Program,0.5,0.06,0.55,0.27,0.05,0,Mount Kisco,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell at South Shore University Hospital Program,0.31,0.01,0.1,0.2,0.01,0,Bay Shore,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell at Staten Island University Hospital Program,0.71,0.1,0.79,0.37,0.08,0.05,Staten Island,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell Program,0.61,0.2,0.65,0.03,0.02,0.02,New Hyde Park,NY,Middle Atlantic
